,id,oplocdistrict,industryphy,industryco,enttype,state,adbusign,townsign,regtype,empnum,regcap,enttypegb,label
0,2917,14,5,233,15,1,0,0,1,5.0,50.0,37,0.0
1,363,2,11,63,15,1,0,0,1,2.0,100.0,37,0.0
2,7822,1,3,44,5,1,0,1,1,2.0,10.0,22,0.0
3,25,2,11,136,15,0,0,0,1,,100.0,13,0.0
4,8361,10,0,40,4,1,0,1,1,5.0,20.0,2,0.0
5,12899,13,5,123,15,1,0,0,1,2.0,300.0,36,0.0
6,13096,15,0,111,4,1,0,1,1,6.0,10.0,2,0.0
7,13753,14,5,233,15,1,0,0,1,10.0,500.0,13,0.0
8,11189,2,6,138,15,1,0,0,1,3.0,5000.0,13,0.0
9,10997,11,0,309,4,1,0,0,1,1.0,50.0,2,0.0
10,13769,5,0,91,15,1,0,0,1,5.0,50.0,40,0.0
11,7645,1,3,44,15,1,0,1,1,,20000.0,42,0.0
12,13964,2,9,237,5,1,0,1,1,20.0,1100.0,29,1.0
13,14038,5,0,91,15,1,0,0,1,2.0,1100.0,13,0.0
14,639,2,9,237,5,1,0,1,1,5.0,310.0,29,1.0
15,7282,11,0,121,4,1,0,1,1,2.0,10.0,2,0.0
16,663,2,5,317,15,1,0,0,1,2.0,200.0,13,0.0
17,6847,5,10,275,15,1,0,0,1,2.0,500.0,13,0.0
18,12672,10,14,152,15,1,0,0,1,3.0,300.0,37,0.0
19,6355,2,0,249,15,1,0,0,1,3.0,10.0,37,0.0
20,2080,13,0,91,4,1,0,1,1,4.0,10.0,2,0.0
21,7787,1,5,317,15,0,0,1,1,15.0,1000.0,10,0.0
22,7655,14,5,281,15,1,0,1,1,1.0,100.0,37,0.0
23,3465,2,0,91,4,0,0,0,1,4.0,10.0,2,0.0
24,12602,15,5,123,15,1,0,0,1,2.0,501.0,37,0.0
25,9206,5,5,50,15,1,0,0,1,3.0,100.0,37,0.0
26,635,11,5,269,15,1,0,0,1,2.0,600.0,13,0.0
27,7592,13,0,249,4,0,0,1,1,2.0,12.0,2,0.0
28,6690,10,0,72,4,1,0,1,1,1.0,10.0,2,0.0
29,8211,0,0,91,4,1,0,0,1,6.0,50.0,2,0.0
30,10287,2,3,341,15,1,0,1,1,,100.0,40,1.0
31,1481,13,11,102,15,1,0,0,1,3.0,500.0,37,0.0
32,1258,5,5,123,15,1,0,0,1,2.0,50.0,37,0.0
33,9974,14,6,190,15,0,0,0,1,5.0,100.0,13,0.0
34,6858,1,11,165,15,1,0,0,1,2.0,100.0,37,0.0
35,1750,5,5,269,15,1,0,0,1,3.0,6000.0,13,0.0
36,11977,0,11,241,5,1,0,1,1,10.0,100.0,22,0.0
37,1656,13,0,72,15,1,0,0,1,3.0,100.0,37,0.0
38,10577,5,0,91,15,1,0,0,1,2.0,100.0,37,0.0
39,9706,15,5,317,15,5,0,1,1,,500.0,13,0.0
40,11967,2,11,211,4,1,0,1,1,2.0,15.0,2,0.0
41,7910,2,11,165,15,1,0,0,1,2.0,10.0,13,0.0
42,7667,13,0,249,4,1,0,1,1,10.0,35.0,2,0.0
43,6578,14,5,269,15,1,0,1,1,1.0,50.0,37,0.0
44,11461,10,0,72,4,1,0,1,1,2.0,80.0,2,0.0
45,8169,5,0,72,4,1,0,1,1,1.0,50.0,2,0.0
46,3649,1,0,72,4,1,0,1,1,3.0,10.0,2,0.0
47,6856,13,11,165,15,1,0,0,1,3.0,100.0,37,0.0
48,5250,5,5,123,15,1,0,0,1,3.0,500.0,13,0.0
49,3690,5,5,317,15,1,0,1,1,2.0,1000.0,10,0.0
50,10098,2,0,40,4,0,0,0,1,10.0,60.0,2,0.0
51,6436,14,5,269,15,1,0,0,1,7.0,120.0,37,0.0
52,1286,14,0,91,4,1,0,1,1,2.0,10.0,2,0.0
53,1172,2,5,119,15,1,0,0,1,5.0,100.0,37,0.0
54,6890,1,11,165,15,1,0,0,1,5.0,100.0,13,0.0
55,11102,2,11,102,15,1,0,0,1,3.0,50.0,13,0.0
56,8426,2,5,67,15,1,0,0,1,2.0,550.0,13,0.0
57,4580,10,0,72,4,0,0,1,1,50.0,50.0,2,0.0
58,12246,2,0,40,4,1,0,0,1,5.0,20.0,2,0.0
59,6363,6,3,44,5,1,0,0,1,20.0,1700.0,29,0.0
60,2359,1,3,44,5,1,0,1,1,10.0,150100.0,29,1.0
61,3144,2,0,72,15,1,0,0,1,3.0,20.0,37,0.0
62,12901,2,0,72,4,1,0,0,1,6.0,50.0,2,0.0
63,5293,2,9,237,5,1,0,1,1,3.0,13600.0,29,0.0
64,2694,5,5,58,15,0,0,1,1,,500.0,37,0.0
65,869,6,5,58,15,1,0,0,3,,200.0,37,0.0
66,13239,5,0,72,4,0,0,1,1,3.0,50.0,2,0.0
67,6153,13,11,241,5,1,0,1,1,8.0,85.0,22,0.0
68,13124,11,0,40,4,0,0,1,1,7.0,100.0,2,0.0
69,903,13,14,192,15,1,0,0,1,5.0,1000.0,40,0.0
70,5005,2,11,165,15,1,0,0,1,8.0,150.0,10,0.0
71,9432,11,0,89,4,1,0,1,1,11.0,10.0,2,0.0
72,12865,14,11,78,15,1,0,0,1,2.0,2000.0,40,0.0
73,7418,14,0,43,15,1,0,0,1,7.0,50.0,37,0.0
74,261,10,11,245,15,1,0,0,1,10.0,300.0,37,0.0
75,7375,5,5,58,15,1,0,0,1,2.0,500.0,37,0.0
76,10925,13,5,123,15,1,0,0,1,2.0,100.0,37,0.0
77,1311,13,0,91,15,1,0,0,1,3.0,200.0,37,0.0
78,6124,5,5,175,15,1,0,0,1,3.0,530.0,13,0.0
79,7717,14,5,317,15,1,0,0,1,3.0,30.0,37,0.0
80,13522,5,5,317,15,1,0,0,1,2.0,500.0,13,0.0
81,12496,5,5,123,15,1,0,0,1,3.0,100.0,37,0.0
82,14843,0,3,205,15,1,0,1,1,3.0,50.0,13,1.0
83,11831,1,0,72,4,1,0,1,1,2.0,10.0,2,0.0
84,2639,1,0,91,4,0,0,1,1,2.0,10.0,2,0.0
85,1892,5,11,136,5,1,0,0,1,5.0,10.0,22,0.0
86,4979,2,0,91,15,1,0,0,1,5.0,100.0,37,0.0
87,5542,2,0,72,15,0,0,0,1,1.0,500.0,37,0.0
88,10138,11,0,72,4,1,0,1,1,3.0,10.0,2,0.0
89,4537,14,2,187,3,0,0,1,1,,,45,1.0
90,12680,1,5,285,15,1,0,1,1,0.0,100.0,13,0.0
91,3333,10,0,249,4,1,0,1,1,2.0,12.0,2,0.0
92,13454,2,12,268,15,1,0,1,1,,12000.0,36,0.0
93,6014,2,11,30,4,1,0,0,1,2.0,100.0,2,0.0
94,7729,11,6,138,15,1,0,0,1,1.0,10.0,37,0.0
95,7611,13,5,58,15,1,0,0,1,3.0,500.0,13,0.0
96,8086,5,11,165,15,1,0,0,1,3.0,100.0,13,0.0
97,1088,2,0,91,4,1,0,0,1,2.0,10.0,2,0.0
98,2584,0,11,30,4,1,0,0,1,2.0,30.0,2,0.0
99,8791,14,0,72,4,0,0,0,1,2.0,10.0,2,0.0
100,4462,10,0,249,4,1,0,1,1,1.0,10.0,2,0.0
101,10988,2,5,50,4,1,0,1,1,2.0,30.0,2,0.0
102,2750,2,0,91,15,1,0,1,1,3.0,100.0,13,0.0
103,855,13,5,123,15,1,0,0,1,3.0,300.0,13,0.0
