,Unnamed: 0,oplocdistrict,industryphy,industryco,enttype,state,adbusign,townsign,regtype,empnum,regcap,enttypegb,label
0,0,14,5,233,15,1,0,0,1,5,2,37,0.0
1,1,2,11,63,15,1,0,0,1,2,2,37,0.0
2,2,1,3,44,5,1,0,1,1,2,0,22,0.0
3,3,2,11,136,15,0,0,0,1,3,2,13,0.0
4,4,10,0,40,4,1,0,1,1,5,1,2,0.0
5,5,13,5,123,15,1,0,0,1,2,4,36,0.0
6,6,15,0,111,4,1,0,1,1,6,0,2,0.0
7,7,14,5,233,15,1,0,0,1,10,4,13,0.0
8,8,2,6,138,15,1,0,0,1,3,7,13,0.0
9,9,11,0,309,4,1,0,0,1,1,2,2,0.0
10,10,5,0,91,15,1,0,0,1,5,2,40,0.0
11,11,1,3,44,15,1,0,1,1,3,8,42,0.0
12,12,2,9,237,5,1,0,1,1,20,6,29,1.0
13,13,5,0,91,15,1,0,0,1,2,6,13,0.0
14,14,2,9,237,5,1,0,1,1,5,4,29,1.0
15,15,11,0,121,4,1,0,1,1,2,0,2,0.0
16,16,2,5,317,15,1,0,0,1,2,3,13,0.0
17,17,5,10,275,15,1,0,0,1,2,4,13,0.0
18,18,10,14,152,15,1,0,0,1,3,4,37,0.0
19,19,2,0,249,15,1,0,0,1,3,0,37,0.0
20,20,13,0,91,4,1,0,1,1,4,0,2,0.0
21,21,1,5,317,15,0,0,1,1,15,6,10,0.0
22,22,14,5,281,15,1,0,1,1,1,2,37,0.0
23,23,2,0,91,4,0,0,0,1,4,0,2,0.0
24,24,15,5,123,15,1,0,0,1,2,5,37,0.0
25,25,5,5,50,15,1,0,0,1,3,2,37,0.0
26,26,11,5,269,15,1,0,0,1,2,5,13,0.0
27,27,13,0,249,4,0,0,1,1,2,1,2,0.0
28,28,10,0,72,4,1,0,1,1,1,0,2,0.0
29,29,0,0,91,4,1,0,0,1,6,2,2,0.0
30,30,2,3,341,15,1,0,1,1,3,2,40,1.0
31,31,13,11,102,15,1,0,0,1,3,4,37,0.0
32,32,5,5,123,15,1,0,0,1,2,2,37,0.0
33,33,14,6,190,15,0,0,0,1,5,2,13,0.0
34,34,1,11,165,15,1,0,0,1,2,2,37,0.0
35,35,5,5,269,15,1,0,0,1,3,8,13,0.0
36,36,0,11,241,5,1,0,1,1,10,2,22,0.0
37,37,13,0,72,15,1,0,0,1,3,2,37,0.0
38,38,5,0,91,15,1,0,0,1,2,2,37,0.0
39,39,15,5,317,15,5,0,1,1,3,4,13,0.0
40,40,2,11,211,4,1,0,1,1,2,1,2,0.0
41,41,2,11,165,15,1,0,0,1,2,0,13,0.0
42,42,13,0,249,4,1,0,1,1,10,2,2,0.0
43,43,14,5,269,15,1,0,1,1,1,2,37,0.0
44,44,10,0,72,4,1,0,1,1,2,2,2,0.0
45,45,5,0,72,4,1,0,1,1,1,2,2,0.0
46,46,1,0,72,4,1,0,1,1,3,0,2,0.0
47,47,13,11,165,15,1,0,0,1,3,2,37,0.0
48,48,5,5,123,15,1,0,0,1,3,4,13,0.0
49,49,5,5,317,15,1,0,1,1,2,6,10,0.0
50,50,2,0,40,4,0,0,0,1,10,2,2,0.0
51,51,14,5,269,15,1,0,0,1,7,3,37,0.0
52,52,14,0,91,4,1,0,1,1,2,0,2,0.0
53,53,2,5,119,15,1,0,0,1,5,2,37,0.0
54,54,1,11,165,15,1,0,0,1,5,2,13,0.0
55,55,2,11,102,15,1,0,0,1,3,2,13,0.0
56,56,2,5,67,15,1,0,0,1,2,5,13,0.0
57,57,10,0,72,4,0,0,1,1,50,2,2,0.0
58,58,2,0,40,4,1,0,0,1,5,1,2,0.0
59,59,6,3,44,5,1,0,0,1,20,6,29,0.0
60,60,1,3,44,5,1,0,1,1,10,9,29,1.0
61,61,2,0,72,15,1,0,0,1,3,1,37,0.0
62,62,2,0,72,4,1,0,0,1,6,2,2,0.0
63,63,2,9,237,5,1,0,1,1,3,8,29,0.0
64,64,5,5,58,15,0,0,1,1,3,4,37,0.0
65,65,6,5,58,15,1,0,0,3,3,3,37,0.0
66,66,5,0,72,4,0,0,1,1,3,2,2,0.0
67,67,13,11,241,5,1,0,1,1,8,2,22,0.0
68,68,11,0,40,4,0,0,1,1,7,2,2,0.0
69,69,13,14,192,15,1,0,0,1,5,6,40,0.0
70,70,2,11,165,15,1,0,0,1,8,3,10,0.0
71,71,11,0,89,4,1,0,1,1,11,0,2,0.0
72,72,14,11,78,15,1,0,0,1,2,6,40,0.0
73,73,14,0,43,15,1,0,0,1,7,2,37,0.0
74,74,10,11,245,15,1,0,0,1,10,4,37,0.0
75,75,5,5,58,15,1,0,0,1,2,4,37,0.0
76,76,13,5,123,15,1,0,0,1,2,2,37,0.0
77,77,13,0,91,15,1,0,0,1,3,3,37,0.0
78,78,5,5,175,15,1,0,0,1,3,5,13,0.0
79,79,14,5,317,15,1,0,0,1,3,1,37,0.0
80,80,5,5,317,15,1,0,0,1,2,4,13,0.0
81,81,5,5,123,15,1,0,0,1,3,2,37,0.0
82,82,0,3,205,15,1,0,1,1,3,2,13,1.0
83,83,1,0,72,4,1,0,1,1,2,0,2,0.0
84,84,1,0,91,4,0,0,1,1,2,0,2,0.0
85,85,5,11,136,5,1,0,0,1,5,0,22,0.0
86,86,2,0,91,15,1,0,0,1,5,2,37,0.0
87,87,2,0,72,15,0,0,0,1,1,4,37,0.0
88,88,11,0,72,4,1,0,1,1,3,0,2,0.0
89,89,14,2,187,3,0,0,1,1,3,4,45,1.0
90,90,1,5,285,15,1,0,1,1,0,2,13,0.0
91,91,10,0,249,4,1,0,1,1,2,1,2,0.0
92,92,2,12,268,15,1,0,1,1,3,8,36,0.0
93,93,2,11,30,4,1,0,0,1,2,2,2,0.0
94,94,11,6,138,15,1,0,0,1,1,0,37,0.0
95,95,13,5,58,15,1,0,0,1,3,4,13,0.0
96,96,5,11,165,15,1,0,0,1,3,2,13,0.0
97,97,2,0,91,4,1,0,0,1,2,0,2,0.0
98,98,0,11,30,4,1,0,0,1,2,1,2,0.0
99,99,14,0,72,4,0,0,0,1,2,0,2,0.0
100,100,10,0,249,4,1,0,1,1,1,0,2,0.0
101,101,2,5,50,4,1,0,1,1,2,1,2,0.0
102,102,2,0,91,15,1,0,1,1,3,2,13,0.0
103,103,13,5,123,15,1,0,0,1,3,4,13,0.0
104,104,14,0,91,15,0,0,0,1,3,2,13,0.0
105,105,1,5,317,15,1,0,0,1,2,6,13,0.0
106,106,5,3,44,15,1,0,1,1,3,7,36,1.0
107,107,13,5,123,15,1,0,0,1,13,2,13,0.0
108,108,2,5,281,15,1,0,0,1,3,6,13,0.0
109,109,2,5,317,15,1,0,0,1,5,3,37,0.0
110,110,13,5,317,15,0,0,1,1,3,2,13,0.0
111,111,2,5,123,15,1,0,0,1,1,4,13,0.0
112,112,13,0,72,4,1,0,1,1,2,2,2,0.0
113,113,2,9,237,5,1,0,1,1,2,9,29,1.0
114,114,13,5,123,15,1,0,0,1,1,1,13,0.0
115,115,14,5,20,15,1,0,1,1,3,2,37,0.0
116,116,2,11,165,15,1,0,0,1,2,2,37,0.0
117,117,13,11,211,15,1,0,0,1,3,0,13,0.0
118,118,5,5,317,15,1,0,0,1,2,7,13,0.0
119,119,11,5,258,15,1,0,0,1,4,4,13,0.0
120,120,5,5,61,15,1,0,0,1,2,2,37,0.0
121,121,2,0,72,4,1,0,1,1,1,0,2,0.0
122,122,11,0,91,15,1,0,1,3,3,7,13,0.0
123,123,5,0,91,4,1,0,0,1,2,1,2,0.0
124,124,5,0,97,4,1,0,0,1,2,0,2,0.0
125,125,14,5,20,15,1,0,1,1,3,3,13,0.0
126,126,1,11,165,15,1,0,0,1,10,2,37,0.0
127,127,11,11,165,5,1,0,0,1,2,0,22,0.0
128,128,14,10,110,4,1,0,0,1,3,2,2,0.0
129,129,14,11,136,15,1,0,0,1,4,1,13,0.0
130,130,11,0,40,4,1,0,0,1,6,0,2,0.0
131,131,0,3,44,5,1,0,1,1,3,8,29,1.0
132,132,2,5,67,15,1,0,0,1,5,0,13,0.0
133,133,2,3,341,5,1,0,1,1,10,9,29,1.0
134,134,2,0,43,15,1,0,1,1,6,4,13,0.0
135,135,13,0,91,4,1,0,1,1,5,0,2,0.0
136,136,11,0,111,4,0,0,1,1,4,0,2,0.0
137,137,2,5,123,15,1,0,0,1,3,3,13,0.0
138,138,11,0,15,15,1,0,0,1,10,0,37,0.0
139,139,6,5,58,15,1,0,0,1,1,4,13,0.0
140,140,5,5,233,15,1,0,0,1,20,6,37,0.0
141,141,2,0,91,4,1,0,0,1,3,2,2,0.0
142,142,13,0,304,15,1,0,0,1,13,4,37,0.0
143,143,13,11,165,15,1,0,0,1,3,4,13,0.0
144,144,2,14,319,15,1,0,0,1,2,4,13,0.0
145,145,2,6,138,15,0,0,1,1,3,2,13,0.0
146,146,14,5,20,15,1,0,0,1,3,0,13,0.0
147,147,13,14,152,15,1,0,0,1,200,6,36,0.0
148,148,10,5,281,15,1,0,0,1,6,2,13,0.0
149,149,13,0,72,4,1,0,1,1,2,2,2,0.0
150,150,15,9,95,5,1,0,1,1,2,4,29,1.0
151,151,5,0,81,15,1,0,0,1,3,0,37,0.0
152,152,10,0,91,4,1,0,1,1,5,1,2,0.0
153,153,5,5,317,15,1,0,0,1,2,2,13,0.0
154,154,10,5,317,15,1,0,0,3,3,2,13,0.0
155,155,10,14,243,15,1,0,0,1,3,6,13,0.0
156,156,14,11,219,15,1,0,0,1,2,4,13,0.0
157,157,6,11,136,15,1,0,0,1,3,2,10,0.0
158,158,11,0,309,15,1,0,0,1,6,2,37,0.0
159,159,11,0,72,4,1,0,1,1,1,0,2,0.0
160,160,13,0,309,15,1,0,0,1,3,2,13,0.0
161,161,14,5,258,15,1,0,0,1,2,2,13,0.0
162,162,11,0,309,4,1,0,0,1,2,0,2,0.0
163,163,2,5,58,15,1,0,0,1,3,2,13,0.0
164,164,13,11,165,15,1,0,0,1,3,2,37,0.0
165,165,2,9,237,5,1,0,1,1,2,2,29,1.0
166,166,0,9,237,15,1,0,1,1,3,7,13,0.0
167,167,5,11,85,15,1,0,0,1,3,2,37,0.0
168,168,15,5,317,15,1,0,0,1,2,6,37,0.0
169,169,2,0,249,4,1,0,0,1,1,0,2,0.0
170,170,15,0,72,4,0,0,1,1,2,0,2,0.0
171,171,14,5,20,15,1,0,1,1,3,2,13,0.0
172,172,10,5,142,15,0,0,0,1,1,0,37,0.0
173,173,2,5,333,15,1,0,1,1,3,4,37,0.0
