0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2917,14,5,233,15,1,0,0,1,5,50,37,0
1665,7884,0,3,44,15,1,0,1,1,3,62500,36,1
1,363,2,11,63,15,1,0,0,1,2,100,37,0
13269,1235,0,3,44,15,1,0,1,1,3,10000,40,1
2,7822,1,3,44,5,1,0,1,1,2,10,22,0
12466,4221,2,3,341,15,1,0,1,1,0,1000,40,1
3,25,2,11,136,15,0,0,0,1,0,100,13,0
5135,14056,2,9,237,5,1,0,1,1,2,150100,29,1
4,8361,10,0,40,4,1,0,1,1,5,20,2,0
10316,1845,0,3,205,15,1,0,1,1,0,5000,13,1
5,12899,13,5,123,15,1,0,0,1,2,300,36,0
8019,4664,2,9,237,5,1,0,1,1,2,19805,29,1
6,13096,15,0,111,4,1,0,1,1,6,10,2,0
10271,6677,2,3,341,5,1,0,0,1,1,10,29,1
7,13753,14,5,233,15,1,0,0,1,10,500,13,0
1383,4641,5,3,341,15,1,0,0,1,3,200,13,1
8,11189,2,6,138,15,1,0,0,1,3,5000,13,0
7106,11540,2,3,44,5,1,0,1,1,30,77700,29,1
9,10997,11,0,309,4,1,0,0,1,1,50,2,0
509,5717,2,9,237,5,1,0,1,1,5,56660,29,1
10,13769,5,0,91,15,1,0,0,1,5,50,40,0
13560,3030,0,9,197,5,1,0,1,1,5,500,30,1
11,7645,1,3,44,15,1,0,1,1,0,20000,42,0
286,6011,2,3,98,5,1,0,1,1,10,0,29,1
13,14038,5,0,91,15,1,0,0,1,2,1100,13,0
11624,9285,5,2,198,3,1,0,1,1,0,0,28,1
15,7282,11,0,121,4,1,0,1,1,2,10,2,0
13241,1244,2,3,44,5,1,0,1,1,2,101,29,1
16,663,2,5,317,15,1,0,0,1,2,200,13,0
1761,1301,2,9,237,15,1,0,1,1,0,1000,36,1
17,6847,5,10,275,15,1,0,0,1,2,500,13,0
11901,10090,2,3,44,5,1,0,1,1,10,36000,29,1
18,12672,10,14,152,15,1,0,0,1,3,300,37,0
1548,3849,5,3,44,5,1,0,1,1,10,10000,29,1
19,6355,2,0,249,15,1,0,0,1,3,10,37,0
13037,14581,10,9,207,5,1,0,1,1,10,5900,29,1
20,2080,13,0,91,4,1,0,1,1,4,10,2,0
5106,13271,14,9,237,5,1,0,0,1,3,139200,29,1
21,7787,1,5,317,15,0,0,1,1,15,1000,10,0
7520,5985,1,3,98,15,1,0,1,1,0,200,13,1
22,7655,14,5,281,15,1,0,1,1,1,100,37,0
14649,12636,2,3,341,15,1,0,1,1,3,200,36,1
23,3465,2,0,91,4,0,0,0,1,4,10,2,0
13627,9942,2,9,237,5,1,0,1,1,3,2000,29,1
24,12602,15,5,123,15,1,0,0,1,2,501,37,0
11985,4422,2,9,128,15,1,0,1,1,3,102,40,1
25,9206,5,5,50,15,1,0,0,1,3,100,37,0
2627,11287,0,9,237,5,1,0,1,1,3,200001,29,1
26,635,11,5,269,15,1,0,0,1,2,600,13,0
14207,4434,2,9,237,5,1,0,1,1,6,25050,29,1
27,7592,13,0,249,4,0,0,1,1,2,12,2,0
5906,11708,15,3,250,15,1,0,1,1,3,600,13,1
28,6690,10,0,72,4,1,0,1,1,1,10,2,0
10275,1642,0,3,341,15,1,0,1,1,0,50,13,1
29,8211,0,0,91,4,1,0,0,1,6,50,2,0
4626,5242,2,9,237,5,1,0,1,1,2,99901,29,1
31,1481,13,11,102,15,1,0,0,1,3,500,37,0
12076,12454,1,3,205,12,1,0,0,1,0,200,14,1
32,1258,5,5,123,15,1,0,0,1,2,50,37,0
289,14346,0,0,91,15,1,0,0,3,5,300,10,1
33,9974,14,6,190,15,0,0,0,1,5,100,13,0
5135,14056,2,9,237,5,1,0,1,1,2,150100,29,1
34,6858,1,11,165,15,1,0,0,1,2,100,37,0
9072,3507,0,8,114,3,1,0,1,1,3,0,28,1
35,1750,5,5,269,15,1,0,0,1,3,6000,13,0
6432,4516,2,3,44,15,1,0,1,1,0,200,37,1
36,11977,0,11,241,5,1,0,1,1,10,100,22,0
2112,7143,0,9,237,15,1,0,1,1,4,100,40,1
37,1656,13,0,72,15,1,0,0,1,3,100,37,0
13926,12388,0,9,237,5,1,0,1,1,5,537660,29,1
38,10577,5,0,91,15,1,0,0,1,2,100,37,0
10907,3046,2,9,237,5,1,0,0,1,5,10,29,1
39,9706,15,5,317,15,5,0,1,1,0,500,13,0
10703,9941,2,3,19,3,1,0,1,1,0,0,3,1
40,11967,2,11,211,4,1,0,1,1,2,15,2,0
6567,2808,2,3,341,3,1,0,1,1,0,0,3,1
41,7910,2,11,165,15,1,0,0,1,2,10,13,0
4879,9622,10,3,44,5,1,0,1,1,10,187,29,1
42,7667,13,0,249,4,1,0,1,1,10,35,2,0
3537,9396,1,3,54,5,1,0,1,1,10,500,29,1
43,6578,14,5,269,15,1,0,1,1,1,50,37,0
9192,14831,13,9,207,5,1,0,0,1,6,1000,29,1
44,11461,10,0,72,4,1,0,1,1,2,80,2,0
10100,9089,1,3,54,5,1,0,0,1,3,500,29,1
45,8169,5,0,72,4,1,0,1,1,1,50,2,0
7261,11965,0,9,325,15,1,0,1,1,0,1080,13,1
46,3649,1,0,72,4,1,0,1,1,3,10,2,0
6829,5400,2,9,237,5,1,0,1,1,5,123978,29,1
47,6856,13,11,165,15,1,0,0,1,3,100,37,0
1762,9960,0,3,44,5,1,0,1,1,5,100100,29,1
48,5250,5,5,123,15,1,0,0,1,3,500,13,0
14128,8718,2,9,237,5,1,0,1,1,2,135010,29,1
49,3690,5,5,317,15,1,0,1,1,2,1000,10,0
4443,4018,0,3,44,15,1,0,1,3,0,30000,40,1
50,10098,2,0,40,4,0,0,0,1,10,60,2,0
4698,9232,0,3,44,15,1,0,1,1,5,15000,40,1
51,6436,14,5,269,15,1,0,0,1,7,120,37,0
10273,4200,11,19,312,15,1,0,1,3,0,10000,40,1
52,1286,14,0,91,4,1,0,1,1,2,10,2,0
6665,9740,0,3,44,15,1,0,0,1,0,1000,37,1
53,1172,2,5,119,15,1,0,0,1,5,100,37,0
6567,2808,2,3,341,3,1,0,1,1,0,0,3,1
54,6890,1,11,165,15,1,0,0,1,5,100,13,0
10292,3806,0,8,141,15,1,0,1,1,3,200,13,1
55,11102,2,11,102,15,1,0,0,1,3,50,13,0
1720,10867,0,9,325,15,1,0,1,1,0,5000,36,1
56,8426,2,5,67,15,1,0,0,1,2,550,13,0
6480,9920,2,3,341,5,1,0,0,1,1,200,29,1
57,4580,10,0,72,4,0,0,1,1,50,50,2,0
11921,13032,2,9,237,5,1,0,1,1,3,30000,29,1
58,12246,2,0,40,4,1,0,0,1,5,20,2,0
14128,8718,2,9,237,5,1,0,1,1,2,135010,29,1
59,6363,6,3,44,5,1,0,0,1,20,1700,29,0
1833,5168,15,9,95,5,1,0,1,1,4,260,29,1
61,3144,2,0,72,15,1,0,0,1,3,20,37,0
7713,6458,0,9,237,15,1,0,1,1,0,112000,36,1
62,12901,2,0,72,4,1,0,0,1,6,50,2,0
559,10600,2,9,237,5,1,0,1,1,3,100100,29,1
63,5293,2,9,237,5,1,0,1,1,3,13600,29,0
12076,12454,1,3,205,12,1,0,0,1,0,200,14,1
64,2694,5,5,58,15,0,0,1,1,0,500,37,0
2700,4592,5,3,44,5,1,0,1,1,16,25000,29,1
65,869,6,5,58,15,1,0,0,3,0,200,37,0
2248,13651,2,3,44,5,1,0,1,3,10,500800,29,1
66,13239,5,0,72,4,0,0,1,1,3,50,2,0
589,5135,5,3,341,5,1,0,1,1,11,5000,29,1
67,6153,13,11,241,5,1,0,1,1,8,85,22,0
3474,10967,2,9,237,5,1,0,1,1,15,712,29,1
68,13124,11,0,40,4,0,0,1,1,7,100,2,0
895,5258,0,3,44,15,1,0,0,4,5,3000,10,1
69,903,13,14,192,15,1,0,0,1,5,1000,40,0
11284,7286,2,9,237,5,1,0,1,1,5,107,29,1
70,5005,2,11,165,15,1,0,0,1,8,150,10,0
6528,13238,0,9,237,5,1,0,1,1,10,10000,29,1
71,9432,11,0,89,4,1,0,1,1,11,10,2,0
4558,9109,0,9,237,15,1,0,1,1,3,5000,36,1
72,12865,14,11,78,15,1,0,0,1,2,2000,40,0
5403,7097,0,3,44,15,1,0,1,1,3,100,10,1
73,7418,14,0,43,15,1,0,0,1,7,50,37,0
465,10685,2,3,44,5,1,0,1,1,10,10,29,1
74,261,10,11,245,15,1,0,0,1,10,300,37,0
8546,1293,2,3,44,15,1,0,1,1,0,5000,40,1
75,7375,5,5,58,15,1,0,0,1,2,500,37,0
12675,45,2,9,237,5,1,0,1,1,3,89651,29,1
76,10925,13,5,123,15,1,0,0,1,2,100,37,0
13427,2601,2,9,237,5,1,0,1,1,5,100010,29,1
77,1311,13,0,91,15,1,0,0,1,3,200,37,0
4907,6285,0,3,44,15,1,1,0,1,0,5000,13,1
78,6124,5,5,175,15,1,0,0,1,3,530,13,0
12475,13544,2,3,44,5,1,0,1,1,6,60000,29,1
79,7717,14,5,317,15,1,0,0,1,3,30,37,0
8859,8021,0,9,95,5,1,0,1,1,5,15650,29,1
80,13522,5,5,317,15,1,0,0,1,2,500,13,0
4096,1246,10,3,44,5,1,0,1,1,6,27200,29,1
81,12496,5,5,123,15,1,0,0,1,3,100,37,0
13425,6263,1,3,98,5,1,0,1,1,5,2000,29,1
83,11831,1,0,72,4,1,0,1,1,2,10,2,0
13241,1244,2,3,44,5,1,0,1,1,2,101,29,1
84,2639,1,0,91,4,0,0,1,1,2,10,2,0
6373,10889,5,3,44,15,1,0,1,1,0,1766,13,1
85,1892,5,11,136,5,1,0,0,1,5,10,22,0
8492,5769,2,9,95,15,1,0,1,1,0,1000,40,1
86,4979,2,0,91,15,1,0,0,1,5,100,37,0
1882,10279,0,3,44,5,1,0,1,1,3,1203100,29,1
87,5542,2,0,72,15,0,0,0,1,1,500,37,0
4916,12133,2,3,44,5,1,0,1,1,5,800000,29,1
88,10138,11,0,72,4,1,0,1,1,3,10,2,0
10244,2074,0,3,311,15,1,0,1,1,0,16800,13,1
90,12680,1,5,285,15,1,0,1,1,0,100,13,0
3626,2401,2,3,44,5,1,0,1,1,2,300000,29,1
91,3333,10,0,249,4,1,0,1,1,2,12,2,0
8596,5188,2,3,44,5,1,0,1,1,3,10,29,1
92,13454,2,12,268,15,1,0,1,1,0,12000,36,0
7351,798,0,9,95,15,1,0,0,1,20,100,40,1
93,6014,2,11,30,4,1,0,0,1,2,100,2,0
4066,5004,2,3,341,15,1,0,1,1,0,1000,36,1
94,7729,11,6,138,15,1,0,0,1,1,10,37,0
8888,11444,11,3,44,15,1,0,1,1,3,50,37,1
95,7611,13,5,58,15,1,0,0,1,3,500,13,0
6036,1555,0,19,312,15,1,0,0,1,0,800,13,1
96,8086,5,11,165,15,1,0,0,1,3,100,13,0
1844,3915,0,9,237,5,1,0,1,1,2,5000,29,1
97,1088,2,0,91,4,1,0,0,1,2,10,2,0
2205,10116,2,3,44,15,1,0,0,1,5,1000,13,1
98,2584,0,11,30,4,1,0,0,1,2,30,2,0
13421,7630,0,9,197,15,1,0,1,1,4,62500,36,1
99,8791,14,0,72,4,0,0,0,1,2,10,2,0
7112,2939,10,3,44,5,1,0,1,3,15,1080,29,1
100,4462,10,0,249,4,1,0,1,1,1,10,2,0
13481,6602,2,9,237,5,1,0,1,1,5,15775,29,1
101,10988,2,5,50,4,1,0,1,1,2,30,2,0
1383,4641,5,3,341,15,1,0,0,1,3,200,13,1
102,2750,2,0,91,15,1,0,1,1,3,100,13,0
8971,930,0,3,44,15,1,0,1,1,5,10000,36,1
103,855,13,5,123,15,1,0,0,1,3,300,13,0
9547,5065,2,8,34,3,1,0,1,1,0,0,3,1
104,6045,14,0,91,15,0,0,0,1,0,100,13,0
6054,4868,0,3,44,15,1,0,1,3,0,500,13,1
105,3596,1,5,317,15,1,0,0,1,2,1000,13,0
7297,11802,2,9,237,5,1,0,1,1,5,1100,29,1
107,1665,13,5,123,15,1,0,0,1,13,88,13,0
1681,8471,2,3,341,5,1,0,0,1,5,3005,29,1
108,6319,2,5,281,15,1,0,0,1,0,1000,13,0
1275,3432,2,3,44,5,1,0,1,1,5,16005,29,1
109,13227,2,5,317,15,1,0,0,1,5,200,37,0
9140,1675,2,9,237,5,1,0,1,1,2,200001,29,1
110,9110,13,5,317,15,0,0,1,1,0,100,13,0
14207,4434,2,9,237,5,1,0,1,1,6,25050,29,1
111,14526,2,5,123,15,1,0,0,1,1,500,13,0
3807,5046,2,3,44,5,1,0,1,1,10,400100,29,1
112,4299,13,0,72,4,1,0,1,1,2,50,2,0
10082,5818,0,9,237,5,1,0,1,1,3,110200,29,1
114,4594,13,5,123,15,1,0,0,1,1,30,13,0
4916,12133,2,3,44,5,1,0,1,1,5,800000,29,1
115,2962,14,5,20,15,1,0,1,1,0,50,37,0
10292,3806,0,8,141,15,1,0,1,1,3,200,13,1
116,3741,2,11,165,15,1,0,0,1,2,50,37,0
13283,8044,2,9,237,5,1,0,1,1,2,1005,29,1
117,8094,13,11,211,15,1,0,0,1,3,10,13,0
1049,3171,1,3,44,15,1,0,1,1,3,1000,36,1
118,11776,5,5,317,15,1,0,0,1,2,5200,13,0
7820,4108,2,9,237,5,1,0,1,1,2,200000,29,1
119,12221,11,5,258,15,1,0,0,1,4,500,13,0
3723,12790,5,3,44,5,1,0,1,1,10,29750,29,1
120,6450,5,5,61,15,1,0,0,1,2,100,37,0
9587,5456,2,9,237,5,1,0,1,1,5,30000,29,1
121,4707,2,0,72,4,1,0,1,1,1,10,2,0
8167,11067,2,9,237,15,1,0,1,1,3,15550,36,1
122,11149,11,0,91,15,1,0,1,3,0,4000,13,0
14124,9358,14,2,187,3,1,0,0,1,0,0,45,1
123,808,5,0,91,4,1,0,0,1,2,20,2,0
3096,1919,2,9,237,5,1,0,1,1,5,2501,29,1
124,8680,5,0,97,4,1,0,0,1,2,10,2,0
13283,8044,2,9,237,5,1,0,1,1,2,1005,29,1
125,9692,14,5,20,15,1,0,1,1,0,200,13,0
14750,13608,2,3,341,5,1,0,0,1,3,1000000,29,1
126,2405,1,11,165,15,1,0,0,1,10,100,37,0
13987,7907,2,9,237,5,1,0,1,1,5,200001,29,1
127,9533,11,11,165,5,1,0,0,1,2,10,22,0
82,14843,0,3,205,15,1,0,1,1,3,50,13,1
128,9966,14,10,110,4,1,0,0,1,3,50,2,0
13855,13834,2,9,237,5,1,0,1,1,3,72805,29,1
129,9368,14,11,136,15,1,0,0,1,4,20,13,0
9559,2266,2,9,237,5,1,0,1,1,5,10,29,1
130,7024,11,0,40,4,1,0,0,1,6,10,2,0
13977,7947,2,9,237,5,1,0,1,1,5,10205,29,1
132,13876,2,5,67,15,1,0,0,1,5,10,13,0
3657,13026,2,3,341,5,1,0,1,1,5,10,29,1
134,3354,2,0,43,15,1,0,1,1,6,500,13,0
8596,5188,2,3,44,5,1,0,1,1,3,10,29,1
135,751,13,0,91,4,1,0,1,1,5,10,2,0
575,11830,11,3,54,15,1,0,1,1,0,60,10,1
136,6678,11,0,111,4,0,0,1,1,4,10,2,0
3537,9396,1,3,54,5,1,0,1,1,10,500,29,1
137,6893,2,5,123,15,1,0,0,1,3,200,13,0
10858,1127,0,9,237,5,1,0,1,1,2,736,29,1
138,6389,11,0,15,15,1,0,0,1,10,10,37,0
3460,4164,0,3,205,10,1,0,0,4,0,0,50,1
